timestep,n_Presenting,n_InGeneralWard,n_InICU,n_OnVentInICU,n_TERMINAL,n_admitted_Presenting,n_admitted_InGeneralWard,n_admitted_InICU,n_admitted_OnVentInICU,n_discharged_Presenting,n_discharged_InGeneralWard,n_discharged_InICU,n_discharged_OnVentInICU,timestep_formatted,scenario,is_prediction,date_generated,percentile,date,n_InICUTotal,n_OffVentInICU
0.0,5.0,45.0,20.0,10.0,0.0,5.0,45.0,20.0,10.0,0.0,0.0,0.0,0.0,2020-04-07,scenario_2,True,04_16_2020,050.00,,,
1.0,7.0,45.0,23.0,10.0,0.0,7.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,2020-04-08,scenario_2,True,04_16_2020,050.00,,,
2.0,6.0,50.0,23.0,10.0,0.0,6.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,2020-04-09,scenario_2,True,04_16_2020,050.00,,,
3.0,6.0,48.0,30.0,9.0,0.0,6.0,5.0,7.0,0.0,1.0,0.0,0.0,0.0,2020-04-10,scenario_2,True,04_16_2020,050.00,,,
4.0,5.0,45.0,27.0,10.0,1.0,5.0,5.0,1.0,3.0,1.0,6.0,1.0,1.0,2020-04-11,scenario_2,True,04_16_2020,050.00,,,
5.0,5.0,47.0,27.0,8.0,2.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,2020-04-12,scenario_2,True,04_16_2020,050.00,,,
6.0,5.0,33.0,28.0,9.0,1.0,5.0,4.0,4.0,3.0,1.0,13.0,1.0,0.0,2020-04-13,scenario_2,True,04_16_2020,050.00,,,
7.0,5.0,34.0,27.0,9.0,1.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,0.0,2020-04-14,scenario_2,True,04_16_2020,050.00,,,
8.0,5.0,28.0,24.0,10.0,1.0,5.0,4.0,1.0,2.0,1.0,8.0,1.0,1.0,2020-04-15,scenario_2,True,04_16_2020,050.00,,,
9.0,4.0,28.0,23.0,10.0,0.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,0.0,2020-04-16,scenario_2,True,04_16_2020,050.00,,,
10.0,4.0,21.0,20.0,11.0,1.0,4.0,3.0,1.0,3.0,1.0,9.0,1.0,1.0,2020-04-17,scenario_2,True,04_16_2020,050.00,,,
11.0,4.0,20.0,18.0,11.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,2020-04-18,scenario_2,True,04_16_2020,050.00,,,
12.0,3.0,20.0,16.0,11.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,0.0,2020-04-19,scenario_2,True,04_16_2020,050.00,,,
13.0,3.0,18.0,15.0,11.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2020-04-20,scenario_2,True,04_16_2020,050.00,,,
