date,n_InGeneralWard,n_InICUTotal,n_OnVentInICU,n_OffVentInICU,Notes
3/18/20,14,1,,,
3/19/20,13,0,,,
3/20/20,9,5,,,
3/21/20,8,0,,,
3/22/20,11,1,,,
3/23/20,12,2,,,
3/24/20,9,1,,,
3/25/20,7,2,,,
3/26/20,3,0,,,
3/27/20,3,3,,,
3/28/20,6,3,,,
3/29/20,5,3,,,
3/30/20,5,2,,,
3/31/20,9,1,,,
4/1/20,3,1,,,
4/2/20,6,4,,,
4/3/20,4,2,,,
4/4/20,7,7,,,
4/5/20,13,2,,,
4/6/20,3,4,,,
4/7/20,7,2,,,
4/8/20,5,8,,,
4/9/20,5,7,,,
4/10/20,5,5,,,
4/11/20,10,4,,,
4/12/20,10,5,,,
4/13/20,7,8,,,
4/14/20,6,5,,,From WellforceCOVIDDashboard-200414.xlsx
4/15/20,,,,,
4/16/20,,,,,
4/17/20,6,9,4,2,From WellforceCOVIDDashboard-200414.xlsx
4/18/20,,6,2,4,From DailyCountsVentOrNot
4/19/20,,8,3,5,From DailyCountsVentOrNot
