timestep,n_Presenting,n_InGeneralWard,n_InICU,n_OnVentInICU,n_TERMINAL,n_admitted_Presenting,n_admitted_InGeneralWard,n_admitted_InICU,n_admitted_OnVentInICU,n_discharged_Presenting,n_discharged_InGeneralWard,n_discharged_InICU,n_discharged_OnVentInICU
0.00,5.00,45.00,20.00,10.00,0.00,5.00,45.00,20.00,10.00,0.00,0.00,0.00,0.00
1.00,7.00,49.00,27.00,10.00,0.00,7.00,5.00,7.00,0.00,3.00,0.00,0.00,2.00
2.00,6.00,55.00,28.00,10.00,0.00,6.00,7.00,2.00,0.00,4.00,0.00,2.00,0.00
3.00,6.00,54.00,37.00,10.00,0.00,6.00,6.00,12.00,0.00,4.00,0.00,1.00,2.00
4.00,5.00,52.02,34.02,14.00,3.00,5.00,6.00,3.00,6.00,4.00,11.00,4.00,4.00
5.00,5.00,54.02,35.00,13.00,4.02,5.00,5.00,3.00,2.00,3.00,2.00,2.00,1.00
6.00,5.00,40.02,36.00,15.00,4.00,5.00,5.00,9.00,6.02,3.00,20.00,4.00,2.00
7.00,5.00,42.00,35.00,16.00,3.00,5.00,5.00,4.00,4.00,3.00,4.00,3.00,2.00
8.00,5.00,36.00,33.00,16.00,3.00,5.00,5.00,4.00,5.00,3.00,14.00,4.00,3.00
9.00,4.00,36.00,31.00,17.00,2.00,4.00,5.00,4.00,4.00,3.00,5.00,4.00,1.00
10.00,4.00,28.00,28.00,17.00,4.00,4.00,4.00,3.00,6.00,3.00,14.00,4.00,3.00
11.00,4.00,27.00,25.00,17.00,3.00,4.00,4.00,3.00,4.00,3.00,6.00,4.00,2.00
12.00,3.00,25.02,23.00,17.00,4.00,3.00,4.00,3.00,6.00,3.00,6.00,3.00,2.00
13.00,3.00,24.00,23.00,17.00,4.00,3.00,3.00,3.00,4.00,2.00,6.00,2.00,2.00
14.00,3.00,22.00,20.00,18.00,4.00,3.00,3.00,3.00,5.00,2.00,6.00,3.00,3.00
15.00,2.00,21.00,19.00,17.00,4.00,2.00,3.00,3.00,4.00,2.00,6.00,2.00,2.00
16.00,2.00,19.00,16.00,17.00,4.00,2.00,2.00,3.00,6.00,2.00,5.00,2.00,3.00
17.00,2.00,18.00,15.00,17.00,4.00,2.00,2.00,2.00,4.00,2.00,5.00,2.00,3.00
18.00,1.00,16.00,14.00,16.00,4.00,1.00,2.00,2.00,3.00,2.00,5.00,2.00,3.00
19.00,1.00,14.00,12.00,15.00,4.00,1.00,1.00,2.00,4.00,1.00,5.00,2.00,2.00
20.00,1.00,12.00,11.00,14.00,4.00,1.00,1.00,2.00,3.00,1.00,4.00,1.00,3.00
21.00,0.00,11.00,11.00,13.00,4.00,0.00,1.00,2.00,3.00,1.00,4.00,2.00,2.00
22.00,0.00,9.00,10.00,12.00,3.00,0.00,0.00,1.00,3.00,0.00,4.00,2.00,2.00
23.00,0.00,7.00,9.00,10.00,3.00,0.00,0.00,1.00,2.00,0.00,3.00,2.00,2.00
24.00,0.00,6.00,8.00,9.00,3.00,0.00,0.00,1.00,2.00,0.00,3.00,1.00,2.00
25.00,0.00,5.00,7.00,9.00,3.00,0.00,0.00,1.00,2.00,0.00,3.00,1.00,2.00
26.00,0.00,3.00,6.00,8.00,3.00,0.00,0.00,1.00,2.00,0.00,2.00,1.00,2.00
27.00,0.00,2.00,6.00,7.00,2.00,0.00,0.00,1.00,2.00,0.00,2.00,1.00,1.00
28.00,0.00,2.00,5.00,6.00,2.00,0.00,0.00,0.00,2.00,0.00,2.00,1.00,1.00
29.00,0.00,1.00,4.00,6.00,2.00,0.00,0.00,0.00,2.00,0.00,1.00,1.00,1.00
30.00,0.00,1.00,3.02,6.00,2.00,0.00,0.00,0.00,2.00,0.00,1.00,1.00,1.00
31.00,0.00,0.00,3.00,5.00,2.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00
32.00,0.00,0.00,2.00,5.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00
33.00,0.00,0.00,2.00,4.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00
34.00,0.00,0.00,2.00,4.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
35.00,0.00,0.00,1.00,3.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
36.00,0.00,0.00,1.00,3.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
37.00,0.00,0.00,1.00,3.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
38.00,0.00,0.00,1.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
39.00,0.00,0.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
40.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
